"year","month","day","author","title","link","country"
2018,9,18,"Citizen Lab","Hide and Seek: Tracking NSO Group's Pegasus Spyware to Operations in 45 Countries","https://citizenlab.ca/2018/09/hide-and-seek-tracking-nso-groups-pegasus-spyware-to-operations-in-45-countries/",""
2018,10,1,"Citizen Lab","The Kingdom Came to Canada How Saudi-Linked Digital Espionage Reached Canadian Soil","https://citizenlab.ca/2018/10/the-kingdom-came-to-canada-how-saudi-linked-digital-espionage-reached-canadian-soil/","SA"
2018,11,27,"Citizen Lab","Reckless VI: Mexican Journalists Investigating Cartels Targeted with NSO Spyware Following Assassination of Colleague","https://citizenlab.ca/2018/11/mexican-journalists-investigating-cartels-targeted-nso-spyware-following-assassination-colleague/","MX"
2018,12,19,"Amnesty International","When Best Practice Isn't Good Enough: Large Campaigns of Phishing Attacks in Middle East and North Africa Target Privacy-Conscious Users","https://www.amnesty.org/en/latest/research/2018/12/when-best-practice-is-not-good-enough/",""
2019,3,6,"Amnesty International","Phishing attacks using third-party applications against Egyptian civil society organizations","https://www.amnesty.org/en/latest/research/2019/03/phishing-attacks-using-third-party-applications-against-egyptian-civil-society-organizations/","EG"
2019,3,20,"Citizen Lab","Reckless VII: Wife of Journalist Slain in Cartel-Linked Killing Targeted with NSO Group's Spyware","https://citizenlab.ca/2019/03/nso-spyware-slain-journalists-wife/","MX"
2019,5,7,"eQualitie","Phishing and Web Attacks Targeting Uzbek Human Right Activists and Independent Media","https://equalit.ie/deflect-labs-report-6/","UZ"
2019,6,20,"Qianxin","New Approaches Utilized by OceanLotus to Target An Environmental Group in Vietnam","https://ti.qianxin.com/blog/articles/english-version-of-new-approaches-utilized-by-oceanLotus-to-target-vietnamese-environmentalist/","VN"
2019,8,21,"Amnesty International","Evolving Phishing Attacks Targeting Journalists and Human Rights Defenders from the Middle-East and North Africa","https://www.amnesty.org/en/latest/research/2019/08/evolving-phishing-attacks-targeting-journalists-and-human-rights-defenders-from-the-middle-east-and-north-africa/",""
2019,9,24,"Citizen Lab","Missing Link Tibetan Groups Targeted with 1-Click Mobile Exploits","https://citizenlab.ca/2019/09/poison-carp-tibetan-groups-targeted-with-1-click-mobile-exploits/","CN"
2019,10,10,"Amnesty International","Morocco: Human Rights Defenders Targeted with NSO Group’s Spyware","https://www.amnesty.org/en/latest/research/2019/10/Morocco-Human-Rights-Defenders-Targeted-with-NSO-Groups-Spyware/","MO"
2020,01,28,"Citizen Lab","Stopping the Press: New York Times Journalist Targeted by Saudi-linked Pegasus Spyware Operator","https://citizenlab.ca/2020/01/stopping-the-press-new-york-times-journalist-targeted-by-saudi-linked-pegasus-spyware-operator/","SA"
2020,03,12,"Amnesty International","Targeted Surveillance Attacks in Uzbekistan: An Old Threat with New Techniques","https://www.amnesty.org/en/latest/research/2020/03/targeted-surveillance-attacks-in-uzbekistan-an-old-threat-with-new-techniques/","UZ"
2020,06,09,"Citizen Lab","Dark Basin: Uncovering a Massive Hack-For-Hire Operation","https://citizenlab.ca/2020/06/dark-basin-uncovering-a-massive-hack-for-hire-operation/",""
2020,06,15,"Amnesty International","India: Human Rights Defenders Targeted by a Coordinated Spyware Operation","https://www.amnesty.org/en/latest/research/2020/06/india-human-rights-defenders-targeted-by-a-coordinated-spyware-operation/","IN"
2020,06,22,"Amnesty International","Moroccan Journalist Targeted With Network Injection Attacks Using NSO Group's Tools","https://www.amnesty.org/en/latest/research/2020/06/moroccan-journalist-targeted-with-network-injection-attacks-using-nso-groups-tools/","MO"
2020,08,03,"Citizen Lab","Nothing Sacred: Religious and Secular Voices for Reform in Togo Targeted with NSO Spyware","https://citizenlab.ca/2020/08/nothing-sacred-nso-sypware-in-togo/","TG"
2020,09,25,"Amnesty International","German-made FinSpy spyware found in Egypt, and Mac and Linux versions revealed","https://www.amnesty.org/en/latest/research/2020/09/german-made-finspy-spyware-found-in-egypt-and-mac-and-linux-versions-revealed/","EG"
2020,12,20,"Citizen Lab","The Great iPwn: Journalists Hacked with Suspected NSO Group iMessage 'Zero-Click' Exploit","https://citizenlab.ca/2020/12/the-great-ipwn-journalists-hacked-with-suspected-nso-group-imessage-zero-click-exploit/","QA"
2021,02,24,"Amnesty International","Click and Bait: Vietnamese Human Rights Defenders Targeted with Spyware Attacks","https://www.amnesty.org/en/latest/research/2021/02/click-and-bait-vietnamese-human-rights-defenders-targeted-with-spyware-attacks/","VN"
2021,07,18,"Amnesty International","Forensic Methodology Report: How to catch NSO Group's Pegasus","https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/",""
2021,10,07,"Amnesty International","Hackers-for-hire in West Africa: Activist in Togo attacked with Indian-made spyware","https://www.amnesty.org/en/documents/afr57/4756/2021/en/","TG"
